yearID	franchID	WinPercent	PostSeason
1901	NYY	0.511278195488722	NA
1901	BOS	0.580882352941177	NA
1901	LAD	0.580882352941177	NA
1901	ATL	0.5	NA
1901	CHW	0.610294117647059	League Champion
1901	CHC	0.381294964028777	NA
1901	CIN	0.37410071942446	NA
1901	CLE	0.397058823529412	NA
1901	DET	0.548148148148148	NA
1901	BAL	0.35036496350365	NA
1901	SFG	0.37956204379562	NA
1901	OAK	0.544117647058823	NA
1901	PHI	0.592857142857143	NA
1901	PIT	0.647482014388489	League Champion
1901	STL	0.542857142857143	NA
1901	MIN	0.458646616541353	NA
1902	NYY	0.36231884057971	NA
1902	BOS	0.562043795620438	NA
1902	LAD	0.543478260869565	NA
1902	ATL	0.532846715328467	NA
1902	CHW	0.552238805970149	NA
1902	CHC	0.496350364963504	NA
1902	CIN	0.5	NA
1902	CLE	0.507352941176471	NA
1902	DET	0.385185185185185	NA
1902	SFG	0.352941176470588	NA
1902	OAK	0.610294117647059	League Champion
1902	PHI	0.408759124087591	NA
1902	PIT	0.741007194244604	League Champion
1902	BAL	0.573529411764706	NA
1902	STL	0.417910447761194	NA
1902	MIN	0.448529411764706	NA
1903	BOS	0.659420289855073	World Series Champion
1903	LAD	0.514705882352941	NA
1903	ATL	0.420289855072464	NA
1903	CHW	0.437956204379562	NA
1903	CHC	0.594202898550725	NA
1903	CIN	0.532374100719424	NA
1903	CLE	0.55	NA
1903	DET	0.477941176470588	NA
1903	SFG	0.60431654676259	NA
1903	NYY	0.537313432835821	NA
1903	OAK	0.555555555555556	NA
1903	PHI	0.362962962962963	NA
1903	PIT	0.65	League Champion
1903	BAL	0.467625899280576	NA
1903	STL	0.313868613138686	NA
1903	MIN	0.313868613138686	NA
1904	BOS	0.616883116883117	League Champion
1904	LAD	0.366013071895425	NA
1904	ATL	0.359477124183007	NA
1904	CHW	0.577922077922078	NA
1904	CHC	0.607843137254902	NA
1904	CIN	0.57516339869281	NA
1904	CLE	0.56953642384106	NA
1904	DET	0.407894736842105	NA
1904	SFG	0.69281045751634	League Champion
1904	NYY	0.609271523178808	NA
1904	OAK	0.536423841059603	NA
1904	PHI	0.342105263157895	NA
1904	PIT	0.568627450980392	NA
1904	BAL	0.427631578947368	NA
1904	STL	0.487012987012987	NA
1904	MIN	0.251655629139073	NA
1905	BOS	0.513157894736842	NA
1905	LAD	0.315789473684211	NA
1905	ATL	0.331168831168831	NA
1905	CHW	0.605263157894737	NA
1905	CHC	0.601307189542484	NA
1905	CIN	0.516339869281046	NA
1905	CLE	0.493506493506494	NA
1905	DET	0.516339869281046	NA
1905	SFG	0.686274509803922	World Series Champion
1905	NYY	0.476510067114094	NA
1905	OAK	0.621621621621622	League Champion
1905	PHI	0.546052631578947	NA
1905	PIT	0.627450980392157	NA
1905	BAL	0.352941176470588	NA
1905	STL	0.376623376623377	NA
1905	MIN	0.423841059602649	NA
1906	BOS	0.318181818181818	NA
1906	LAD	0.434210526315789	NA
1906	ATL	0.324503311258278	NA
1906	CHW	0.615894039735099	World Series Champion
1906	CHC	0.763157894736842	League Champion
1906	CIN	0.423841059602649	NA
1906	CLE	0.581699346405229	NA
1906	DET	0.476510067114094	NA
1906	SFG	0.631578947368421	NA
1906	NYY	0.596026490066225	NA
1906	OAK	0.537931034482759	NA
1906	PHI	0.464052287581699	NA
1906	PIT	0.607843137254902	NA
1906	BAL	0.51006711409396	NA
1906	STL	0.346666666666667	NA
1906	MIN	0.366666666666667	NA
1907	BOS	0.395973154362416	NA
1907	LAD	0.439189189189189	NA
